number,title,milestone,cluster,merged_prs,graphql_error,suggest
1344,"[Layer 4 — API] PHPDoc @covers backlog (L4-COV-AGG, 64 symbols)",Track 3 — Parity & performance,phpdoc_covers,,,verify_ac
1343,"[Layer 6 — Interfaces] PHPDoc @covers backlog (L6-COV-AGG, 226 symbols)",Track 3 — Parity & performance,phpdoc_covers,,,verify_ac
1342,[Layer 6 — Interfaces] Add missing L6 packages to phpstan.neon (PHPStan CI gaps),Track 3 — Parity & performance,layer_tagged,,,verify_ac
1341,"[Layer 5 — AI] PHPDoc @covers backlog (L5-COV-AGG, 70 symbols)",Track 2 — Bimaaji & agentic,phpdoc_covers,,,verify_ac
1340,[Layer 5 — AI] Sync CLAUDE + phpstan.neon for ai-observability; fix AnomalyDetector PHPStan,Track 2 — Bimaaji & agentic,layer_tagged,,,verify_ac
1338,"[Layer 0 — Foundation] PHPDoc @covers backlog (L0-COV-AGG, 269 symbols)",Track 1 — Entity system & hydration,phpdoc_covers,,,verify_ac
1337,Epic: Layer 1 audit — PHPDoc @covers / contract surface (177 symbols),Track 1 — Entity system & hydration,phpdoc_covers,,,verify_ac
1336,Follow-up: Layer 2 audit — PHPDoc @covers backlog (42 symbols),Track 1 — Entity system & hydration,phpdoc_covers,,,verify_ac
1335,Follow-up: Layer 3 audit — close remaining PHPDoc @covers gaps (21 symbols),Track 1 — Entity system & hydration,phpdoc_covers,,,verify_ac
1315,Kernel-path integration test for extractions (postmortem: five-release adoption chain),Track 1 — Entity system & hydration,other,PR#1321: docs(plan): anchor Task 2 grep; clarify mutation recipe | PR#1322: docs(plan): editorial pass on Phase 1 plan | PR#1323: refactor: drain MinimalTestKernel | PR#1324: test: SqlSchemaHandlerRegistryFallbackTest + mutation-recipe | PR#1325: test: forbid named kernel subclasses in tests/**,,verify_ac
1313,Shadow-collision guard + clear duplicate-registration error,Track 1 — Entity system & hydration,other,PR#1329: docs(plan): Phase 3 — shadow-collision guard + duplicate-reg | PR#1330: feat: add provenance-aware collision exception in the regist | PR#1331: test: add real-kernel entity-type collision coverage | PR#1332: fix: emit missing bundle-subtable notice on save path | PR#1333: docs: add upgrade note for shadow-collision guard,,verify_ac
1310,deploy: RP003 verify-tag-parity false alarms on alpha.146-.149,Track 4 — Schema evolution,other,,,verify_ac
1309,operator-diagnostics: detect column-vs-data storage drift,Track 3 — Parity & performance,other,,,verify_ac
1308,entity-storage: symmetric query-side handling for FieldStorage::Data when legacy column exists,Track 1 — Entity system & hydration,other,,,verify_ac
1304,Move tenancy opt-in from HasCommunityInterface marker to EntityType/storage registration,Track 1 — Entity system & hydration,other,,,verify_ac
1301,Portable ORPHAN_BUNDLE_SUBTABLE detection for MySQL and PostgreSQL,Track 1 — Entity system & hydration,other,PR#1302: docs(#1297): log post-review follow-ups + refresh entity-sys,,verify_ac
1300,Extract HealthChecker's entity/entity-storage dependencies to preserve layer discipline,Track 1 — Entity system & hydration,other,PR#1302: docs(#1297): log post-review follow-ups + refresh entity-sys,,verify_ac
1299,Log warning when load() encounters a registered-field bundle with no subtable,Track 1 — Entity system & hydration,other,PR#1302: docs(#1297): log post-review follow-ups + refresh entity-sys,,verify_ac
1298,Centralize bundle-subtable name helper with `__` separator guard,Track 1 — Entity system & hydration,other,PR#1302: docs(#1297): log post-review follow-ups + refresh entity-sys,,verify_ac
1290,oidc: login_path with pre-existing query string produces malformed return_to URL,Track 5 — Ecosystem identity,other,,,verify_ac
1276,Rotate `SPLIT_GITHUB_TOKEN` to fine-grained PAT excluding `waaseyaa/framework`,Track 5 — Ecosystem identity,ops_tokens,,,verify_ac
1275,ADR-004 follow-up: teach package discovery to synthesize installed.json entries for `replace`d packages,Track 1 — Entity system & hydration,ecosystem_rollout,,,verify_ac
1266,Roll out waaseyaa/northcloud: alpha → Minoo migration → stable,Track 5 — Ecosystem identity,ecosystem_rollout,,,verify_ac
1257,fix(entity-query): _data integer fields fail string comparisons in SQLite,Track 1 — Entity system & hydration,other,,,verify_ac
1256,refactor: migrate test extending GenericAdminSurfaceHost to enable final,Track 3 — Parity & performance,other,,,verify_ac
1255,refactor: extract interface for AuthMailer to enable final,Track 3 — Parity & performance,other,,,verify_ac
1254,refactor: migrate tests mocking EntityAccessHandler to enable final,Track 3 — Parity & performance,other,,,verify_ac
1253,refactor: migrate 57 tests mocking EntityTypeManager to mock EntityTypeManagerInterface,Track 3 — Parity & performance,other,,,verify_ac
1249,perf: cache or X-Sendfile for admin SPA index.html serving,Track 3 — Parity & performance,other,,,verify_ac
1248,chore: add phpstan-strict-rules to composer.lock,Track 3 — Parity & performance,other,,,verify_ac
1247,chore: extract admin SPA serve logic into testable method,Track 3 — Parity & performance,other,,,verify_ac
1244,chore: triage REVIEW_NEEDED final classes from keyword audit,Track 3 — Parity & performance,chore_triage_final,,,verify_ac
1243,refactor: extract interfaces for Interface-layer registries and handlers,Track 3 — Parity & performance,refactor_extract_interfaces,,,verify_ac
1242,refactor: extract interfaces for AI layer final classes,Track 3 — Parity & performance,refactor_extract_interfaces,,,verify_ac
1241,refactor: extract interfaces for API layer final classes,Track 3 — Parity & performance,refactor_extract_interfaces,,,verify_ac
1240,refactor: extract interfaces for Services layer final classes,Track 3 — Parity & performance,refactor_extract_interfaces,,,verify_ac
1239,refactor: extract interfaces for Core Data final classes,Track 3 — Parity & performance,refactor_extract_interfaces,,,verify_ac
1227,"Inertia: `RootTemplateRenderer` ships `data-page=""true""` but client reader expects `data-page=""app""`",Track 3 — Parity & performance,inertia_ssr,"PR#79: docs(#66, #72, #73): comment phase-A workarounds",,verify_ac
1224,Epic — InboundHttpRequest: SSR boundary & request model,Track 1 — Entity system & hydration,epic,,,verify_ac
1223,Remediation Planning: Entity System & Hydration,Track 1 — Entity system & hydration,other,,,verify_ac
1214,Layer Gate: Enforce package-level import and dependency rules,Track 1 — Entity system & hydration,layer_gate,,,verify_ac
1107,feat: wrap Symfony dependencies so app code never imports Symfony directly,Track 1 — Entity system & hydration,symfony_wrap,,,verify_ac
1100,Inconsistent accessor naming on AccountInterface: id() vs getRoles(),Track 1 — Entity system & hydration,other,,,verify_ac
1071,Repeat codified context A/B test experiment for waaseyaa/framework,Track 2 — Bimaaji & agentic,other,,,verify_ac
893,impl(remediation)(M7): public command exposure and operator reachability track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
892,impl(remediation)(M7): root workflow entry-point unification track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
891,impl(remediation)(M7): dev-process coupling and local ergonomics cleanup track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
890,impl(remediation)(M7): operator and playbook polish track,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
889,impl(remediation)(M7): bootstrap and workflow gate,Track 1 — Entity system & hydration,remediation_mseries,,,verify_ac
